family,n_states,log_likelihood,n_parameters,n_observations,aic,bic,converged,min_viterbi_occupancy,valid
hmm,2,-9306.004199168285,7,5465,18626.00839833657,18672.251234140844,True,0.23897529734675205,True
hmm,3,-8959.534974011753,14,5465,17947.069948023505,18039.555619632054,True,0.047392497712717294,False
