Date,hmm_100_keep,hmm_60_40_spread,equal_weight_monthly,spy_buy_hold
2004-11-22,0.004768687226555085,0.004379765156628291,0.00459235314266018,0.004768687226555085
2004-11-23,0.0015259784152239226,-0.0008641749935337376,-0.0005595131243826186,0.0015259784152239226
2004-11-24,0.002369700141789644,0.004103377511313257,0.003015857406994406,0.002369700141789644
2004-11-26,-0.000760121558064017,0.0016749075981810576,-0.0006550006416857896,-0.000760121558064017
2004-11-29,-0.0045627588838934715,-0.001766133068221458,-0.00423709935924538,-0.0045627588838934715
2004-11-30,0.0006792341047260802,-0.002059442661246697,-0.0032476222698903457,0.0006792341047260802
2004-12-01,0.011366365156778756,0.00912480262585302,0.005189832514812154,0.011366365156778756
2004-12-02,0.0008390260095202853,-0.0032868029492001444,-0.004219664561000003,0.0008390260095202853
2004-12-03,-0.0006703915507435199,0.005381949275553248,0.009725488594520429,-0.0006703915507435199
2004-12-06,-0.00033570642720625243,-0.003973356484083043,-0.0021123363763564337,-0.00033570642720625243
2004-12-07,-0.0093114535013865,-0.0061181766040497,-0.00313194275690207,-0.0093114535013865
2004-12-08,0.005843191502603132,-0.0062480400878861374,-0.0008958014878127899,0.005843191502603132
2004-12-09,0.0035351236810347245,3.0644297163259955e-05,-0.002770918640788834,0.0035351236810347245
2004-12-10,0.0010068857222822406,-0.0025023113447759137,-0.0013230841113986327,0.0010068857222822406
2004-12-13,0.008715375756748986,0.009557045302682156,0.007141528490617925,0.008715375756748986
2004-12-14,0.0034890992310392262,-0.0011859812411766923,-0.00012365590171156172,0.0034890992310392262
2004-12-15,0.0007449570330677462,0.0044883285171037745,0.006574621962875544,0.0007449570330677462
2004-12-16,-0.0005790005947888949,-0.0031662351962705795,-0.007503008403019624,-0.0005790005947888949
2004-12-17,-0.0066701220583251335,0.000668241032129778,0.0010207825227091288,-0.0066701220583251335
2004-12-20,0.0002513334874467318,0.0015085871985146464,0.0017958479752616565,0.0002513334874467318
2004-12-21,0.007700796938647059,0.0035379438242454423,0.002741148985412948,0.007700796938647059
2004-12-22,0.0024088820116460376,-0.0003638137818715956,-0.0017870369543276762,0.0024088820116460376
2004-12-23,0.0007455032531093588,0.0027189966124766696,0.0009761720009888593,0.0007455032531093588
2004-12-27,-0.0020698822351319646,0.0006555098484505495,-0.0017951173533750542,-0.0020698822351319646
2004-12-28,0.005476408821508181,0.0022966311608578916,0.0007856203619534374,0.005476408821508181
2004-12-29,0.0014853209441822927,-0.0055095205420270426,-0.005029260528462223,0.0014853209441822927
2004-12-30,-0.0018951004465657512,0.00042044760413315367,0.0028594062215031436,-0.0018951004465657512
2004-12-31,-0.002146618816336179,-0.0015617800303058468,0.0011747590911177258,-0.002146618816336179
2005-01-03,-0.004715471186973343,-0.009952559359521433,-0.006792525743809583,-0.004715471186973343
2005-01-04,-0.012219963286631311,-0.009935406854521663,-0.009752000578011205,-0.012219963286631311
2005-01-05,-0.006900384635000109,-0.004795387606197377,-0.0010420630352863374,-0.006900384635000109
2005-01-06,0.005084513704512081,-0.0018238796880543449,-0.002113728435023468,0.005084513704512081
2005-01-07,-0.0014336167933446176,-0.0038020572605249312,-0.0021166331015160878,-0.0014336167933446176
2005-01-10,0.004727923406227773,0.0038883851140081587,0.002972651097985307,0.004727923406227773
2005-01-11,-0.006890622835456767,-0.0016552479152940921,0.001707025523246422,-0.006890622835456767
2005-01-12,0.00330025709380672,0.005675955233374351,0.0045735219479542955,0.00330025709380672
2005-01-13,-0.008012521752530413,-0.004807513051518247,0.0006248417183818527,-0.008012521752530413
2005-01-14,0.00527161927217645,0.0005338749499154472,-0.00046408634402613663,0.00527161927217645
2005-01-18,0.01040246138546154,0.006241476831276923,0.004578224324045066,0.01040246138546154
2005-01-19,-0.01046287781286716,-0.006844847422348759,-0.002948315018472384,-0.01046287781286716
2005-01-20,-0.006090138875671772,-0.00374871959544856,-0.0013991586094068385,-0.006090138875671772
2005-01-21,-0.006128033296131856,0.0009622491675686752,0.0021459767399677862,-0.006128033296131856
2005-01-24,-0.0019696187064881646,-0.0009010152283965952,0.0010728949659151526,-0.0019696187064881646
2005-01-25,0.00283157283257778,-0.00325779021323655,-0.00641871109084236,0.00283157283257778
2005-01-26,0.0029943195669250335,0.006057926307966734,0.005108389796594133,0.0029943195669250335
2005-01-27,0.0017066619033806682,0.0003681086709482026,-0.0006274715386986868,0.0017066619033806682
2005-01-28,0.0,0.0006569657116706476,0.0040022558716472315,0.0
2005-01-31,0.0062163196830160175,-0.000674025675551481,-0.0005891918434138114,0.0062163196830160175
2005-02-01,0.006347190790827238,0.0026713865435403867,0.000639496205844863,0.006347190790827238
2005-02-02,0.0030273521907511003,0.0023864956419158523,0.002254047759441389,0.0030273521907511003
2005-02-03,-0.0025990131978413725,-0.006113483288472997,-0.004832904925115536,-0.0025990131978413725
2005-02-04,0.010675775384240737,0.004390118945179121,0.006571326304087157,0.010675775384240737
