state,asset,mean_log_return,std_log_return,observations
0,TLT,-0.00017009556467051368,0.007429932757300459,2900
0,GLD,0.00045988131899130633,0.009501523798693545,2900
0,SPY,0.0013406838009396792,0.005632147989464098,2900
1,TLT,0.00031356550179126525,0.00962762801172205,2306
1,GLD,0.0003402729565945552,0.012341299383596748,2306
1,SPY,-3.8844426475841014e-05,0.012381996349556836,2306
2,TLT,0.0015163349038986196,0.01799274778701677,259
2,GLD,0.0003628648019367537,0.020531351921620495,259
2,SPY,-0.005897269837189069,0.034978845251661714,259
